name,fieldlength,valuemax,valuemin,cnt
Table Direct,22,NULL,NULL,2476
Yes-No,1,NULL,NULL,1974
Table,22,NULL,NULL,1583
Date+Time,7,NULL,NULL,1553
Table Direct,10,NULL,NULL,898
String,60,NULL,NULL,701
Search,22,NULL,NULL,586
String,255,NULL,NULL,582
ID,22,NULL,NULL,513
Amount,22,NULL,NULL,503
Table,10,NULL,NULL,498
Integer,22,NULL,NULL,429
Date,7,NULL,NULL,390
List,1,NULL,NULL,389
Text,2000,NULL,NULL,317
Quantity,22,NULL,NULL,299
String,40,NULL,NULL,286
Account,22,NULL,NULL,213
String,20,NULL,NULL,207
Button,1,NULL,NULL,201
Number,22,NULL,NULL,181
ID,10,NULL,NULL,172
Costs+Prices,22,NULL,NULL,133
Date+Time,29,NULL,NULL,129
String,30,NULL,NULL,125
String,2000,NULL,NULL,116
Integer,10,NULL,NULL,115
List,2,NULL,NULL,114
Search,10,NULL,NULL,106
String,120,NULL,NULL,98
Table,6,NULL,NULL,56
String,10,NULL,NULL,54
Quantity,131089,NULL,NULL,46
Product Attribute,22,NULL,NULL,42
Table,40,NULL,NULL,41
Quantity,10,NULL,NULL,35
Number,20,NULL,NULL,32
URL,120,NULL,NULL,31
Text,255,NULL,NULL,28
Location (Address),22,NULL,NULL,28
Locator (WH),22,NULL,NULL,27
List,3,NULL,NULL,26
Number,131089,NULL,NULL,25
String,1,NULL,NULL,25
Account,10,NULL,NULL,24
String,3,NULL,NULL,22
Button,22,NULL,NULL,21
Product Attribute,10,NULL,NULL,21
Button,2,NULL,NULL,20
String,510,NULL,NULL,17
Image,10,NULL,NULL,15
Date,29,NULL,NULL,13
String,4,NULL,NULL,12
String,22,NULL,NULL,11
String,11,NULL,NULL,10
List,10,NULL,NULL,10
String,6,NULL,NULL,10
String,80,NULL,NULL,10
Binary,4000,NULL,NULL,9
Integer,14,NULL,NULL,9
Memo,2000,NULL,NULL,9
Text Long,0,NULL,NULL,8
String,2,NULL,NULL,8
String,5,NULL,NULL,8
Number,10,NULL,NULL,8
Date+Time,22,NULL,NULL,8
Location (Address),10,NULL,NULL,6
Amount,10,NULL,NULL,6
Memo,1000,NULL,NULL,5
List,22,NULL,NULL,5
Table,5,NULL,NULL,5
Button,10,NULL,NULL,5
Table Direct,1,NULL,NULL,5
Text,510,NULL,NULL,5
Account,40,NULL,NULL,5
String,50,NULL,NULL,5
Quantity,14,NULL,NULL,5
String,240,NULL,NULL,4
Date+Time,8,NULL,NULL,4
Quantity,1,NULL,NULL,4
Table,NULL,NULL,NULL,4
Amount,11,NULL,NULL,4
Yes-No,5,NULL,NULL,4
Date,10,NULL,NULL,4
String,12,NULL,NULL,4
Number,22,100,0,4
Search,11,NULL,NULL,3
List,20,NULL,NULL,3
Assignment,22,NULL,NULL,3
String,250,NULL,NULL,3
Integer,22,NULL,0,3
Text,2147483647,NULL,NULL,3
Text Long,4000,NULL,NULL,3
String,100,NULL,NULL,3
Integer,22,31,1,3
Integer,22,NULL,1,3
Locator (WH),10,NULL,NULL,2
Time,7,NULL,NULL,2
URL,60,NULL,NULL,2
Number,5,NULL,NULL,2
Number,14,NULL,NULL,2
Number,22,100,-100,2
Yes-No,2,NULL,NULL,2
Table Direct,131089,NULL,NULL,2
List,50,NULL,NULL,2
ID,60,NULL,NULL,2
String,25,NULL,NULL,2
Image,22,NULL,NULL,2
Color,22,NULL,NULL,2
Text,4000,NULL,NULL,2
FilePath,255,NULL,NULL,2
Text,60,NULL,NULL,2
Text,10,NULL,NULL,2
String,32,NULL,NULL,2
List,4,NULL,NULL,1
Memo,510,NULL,NULL,1
Number,10,NULL,0,1
Integer,22,12,1,1
Number,22,1,NULL,1
Number,22,NULL,0,1
Integer,22,10,NULL,1
Integer,10,NULL,0,1
Integer,8,NULL,NULL,1
Image,4000,NULL,NULL,1
Quantity,15,NULL,NULL,1
Quantity,20,NULL,NULL,1
Quantity,22,NULL,0,1
ID,80,NULL,NULL,1
ID,1,NULL,NULL,1
FileName,500,NULL,NULL,1
FileName,255,NULL,NULL,1
Yes-No,11,NULL,NULL,1
String,8,NULL,NULL,1
Date+Time,20,NULL,NULL,1
String,15,NULL,NULL,1
Date+Time,14,NULL,NULL,1
Date+Time,10,NULL,NULL,1
Date,11,NULL,NULL,1
String,44,NULL,NULL,1
Yes-No,20,NULL,NULL,1
String,90,NULL,NULL,1
String,101,NULL,NULL,1
Date,9,NULL,NULL,1
String,200,NULL,NULL,1
Date,8,NULL,NULL,1
Costs+Prices,131089,NULL,NULL,1
String,1024,NULL,NULL,1
Costs+Prices,60,NULL,NULL,1
Table,1,NULL,NULL,1
Table,7,NULL,NULL,1
Table,11,NULL,NULL,1
Table,20,NULL,NULL,1
Binary,NULL,NULL,NULL,1
Binary,0,NULL,NULL,1
Text,4,NULL,NULL,1
Text,20,NULL,NULL,1
Amount,14,NULL,NULL,1
Text,1020,NULL,NULL,1
Text Long,2000,NULL,NULL,1
Text Long,NULL,NULL,NULL,1
URL,2000,NULL,NULL,1
Integer,22,NULL,3,1
Yes-No,6,NULL,NULL,1
